sample,tech,runid,file
SAIEQU,illumina,350858_S8_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350858_S8_L004/fastx/SAIEQU.350858_S8_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350858_S8_L004/fastx/SAIEQU.350858_S8_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350859_S7_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350859_S7_L004/fastx/SAIEQU.350859_S7_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350859_S7_L004/fastx/SAIEQU.350859_S7_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350860_S10_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350860_S10_L004/fastx/SAIEQU.350860_S10_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350860_S10_L004/fastx/SAIEQU.350860_S10_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,354037_S11_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/354037_S11_L004/fastx/SAIEQU.354037_S11_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/354037_S11_L004/fastx/SAIEQU.354037_S11_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,354038_S18_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/354038_S18_L004/fastx/SAIEQU.354038_S18_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/354038_S18_L004/fastx/SAIEQU.354038_S18_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,354039_S17_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/354039_S17_L004/fastx/SAIEQU.354039_S17_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/354039_S17_L004/fastx/SAIEQU.354039_S17_L004.R2.trimmed.fastq.gz
SAIEQU,hic,353997_S4_L001,/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L001/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L001_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L001/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L001_R2_001.fastq.gz
SAIEQU,hic,353997_S4_L002,/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L002/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L002_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L002/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L002_R2_001.fastq.gz
SAIEQU,pb,DA080843,/g/data/xl04/bpadownload2025/SAIEQU/pb/DA080843/fastx/SAIEQU.PB.DA080843.deepconsensus.trimmed.fastq.gz
SAIEQU,pb,DA095606,/g/data/xl04/bpadownload2025/SAIEQU/pb/DA095606/fastx/SAIEQU.PB.DA095606.deepconsensus.trimmed.fastq.gz
